time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-03-07T00:00:00.0000000Z,2018-03-07T03:00:00.0000000Z,2018-03-07T00:00:00.2180000Z,2018-03-07T02:59:59.6960000Z,10700.0,10911.78,10696.87,10791.01,4248.976204714,17659
2018-03-07T03:00:00.0000000Z,2018-03-07T06:00:00.0000000Z,2018-03-07T03:00:05.4960000Z,2018-03-07T05:59:50.0000000Z,10791.01,10815.41,10633.0,10656.84,3186.587859034,14382
2018-03-07T06:00:00.0000000Z,2018-03-07T09:00:00.0000000Z,2018-03-07T06:00:00.0000000Z,2018-03-07T08:59:59.5820000Z,10670.0,10676.09,10424.0,10552.99,6001.2288447,20222
2018-03-07T09:00:00.0000000Z,2018-03-07T12:00:00.0000000Z,2018-03-07T09:00:00.0000000Z,2018-03-07T11:59:59.9950000Z,10550.0,10655.6,10417.0,10641.72,4434.604492423,13785
2018-03-07T12:00:00.0000000Z,2018-03-07T15:00:00.0000000Z,2018-03-07T12:00:01.0000000Z,2018-03-07T14:59:56.9210000Z,10636.99,10678.7,10510.49,10650.0,3246.646182784,14046
2018-03-07T15:00:00.0000000Z,2018-03-07T18:00:00.0000000Z,2018-03-07T15:00:00.0400000Z,2018-03-07T17:59:58.2380000Z,10643.1,10725.49,9375.0,9735.81,35516.329744088,92468
2018-03-07T18:00:00.0000000Z,2018-03-07T21:00:00.0000000Z,2018-03-07T18:00:01.0000000Z,2018-03-07T20:59:59.1540000Z,9750.5,9997.9,9609.8,9777.75,14681.171281724,47047
2018-03-07T21:00:00.0000000Z,2018-03-08T00:00:00.0000000Z,2018-03-07T21:00:00.1090000Z,2018-03-07T23:59:59.5240000Z,9770.0,10160.9,9759.98,9925.0,11881.426512363,40796
2018-03-08T00:00:00.0000000Z,2018-03-08T03:00:00.0000000Z,2018-03-08T00:00:00.0000000Z,2018-03-08T02:59:59.6660000Z,9904.52,10037.44,9536.8,9648.15,9023.898355515,35117
2018-03-08T03:00:00.0000000Z,2018-03-08T06:00:00.0000000Z,2018-03-08T03:00:00.3010000Z,2018-03-08T05:59:59.0000000Z,9648.16,9854.7,9491.2,9796.28,6452.875370821,27662
2018-03-08T06:00:00.0000000Z,2018-03-08T09:00:00.0000000Z,2018-03-08T06:00:00.0000000Z,2018-03-08T08:59:52.0830000Z,9809.57,10020.0,9684.45,9919.11,5642.677981013,19569
2018-03-08T09:00:00.0000000Z,2018-03-08T12:00:00.0000000Z,2018-03-08T09:00:03.5330000Z,2018-03-08T11:59:59.6190000Z,9919.11,10150.0,9900.0,9940.0,4613.283066656,16272
2018-03-08T12:00:00.0000000Z,2018-03-08T15:00:00.0000000Z,2018-03-08T12:00:00.0000000Z,2018-03-08T14:59:57.0000000Z,9954.69,10017.1,9660.0,9762.34,7502.957891411,23118
2018-03-08T15:00:00.0000000Z,2018-03-08T18:00:00.0000000Z,2018-03-08T15:00:00.0440000Z,2018-03-08T17:59:55.7990000Z,9771.99,9952.35,9000.0,9296.6,18469.352761015,57952
2018-03-08T18:00:00.0000000Z,2018-03-08T21:00:00.0000000Z,2018-03-08T18:00:00.0000000Z,2018-03-08T20:59:59.9590000Z,9300.96,9452.57,9168.0,9388.5,9367.86461856,25806
